code,level1,level2,level3,latitude,longitude
1132070000,서울특별시,도봉구,방학제2동,37.6654361,127.0372222
1132071000,서울특별시,도봉구,방학제3동,37.6562278,127.0300778
1135000000,서울특별시,노원구,,37.6514611,127.0583889
1135056000,서울특별시,노원구,월계1동,37.6173194,127.0650889
1135057000,서울특별시,노원구,월계2동,37.6297611,127.0529972
1135058000,서울특별시,노원구,월계3동,37.6182056,127.0713306
1135059500,서울특별시,노원구,공릉1동,37.6247275,127.0737518
1135060000,서울특별시,노원구,공릉2동,37.6185694,127.0854417
1135061100,서울특별시,노원구,하계1동,37.6377833,127.0747306
1135061200,서울특별시,노원구,하계2동,37.6292500,127.0701111
1135061900,서울특별시,노원구,중계본동,37.6450722,127.0824556
1135062100,서울특별시,노원구,중계1동,37.6497861,127.0796639
1135062400,서울특별시,노원구,중계4동,37.6559667,127.0800889
1135062500,서울특별시,노원구,중계2.3동,37.6421829,127.0687126
1135063000,서울특별시,노원구,상계1동,37.6771028,127.0572111
1135064000,서울특별시,노원구,상계2동,37.6559750,127.0707083
1135066500,서울특별시,노원구,상계3.4동,37.6610000,127.0774667
1135067000,서울특별시,노원구,상계5동,37.6602194,127.0714861
1135069500,서울특별시,노원구,상계6.7동,37.6520889,127.0690667
1135070000,서울특별시,노원구,상계8동,37.6639444,127.0536667
1135071000,서울특별시,노원구,상계9동,37.6617111,127.0659556
1135072000,서울특별시,노원구,상계10동,37.6584333,127.0623667
1138000000,서울특별시,은평구,,37.5999694,126.9312417
1138051000,서울특별시,은평구,녹번동,37.5999611,126.9368444
1138052000,서울특별시,은평구,불광제1동,37.6075361,126.9341889
1138053000,서울특별시,은평구,불광제2동,37.6187944,126.9298194
1138055100,서울특별시,은평구,갈현제1동,37.6208972,126.9187889
1138055200,서울특별시,은평구,갈현제2동,37.6157667,126.9178889
1138056000,서울특별시,은평구,구산동,37.6090194,126.9125000
1138057000,서울특별시,은평구,대조동,37.6113389,126.9228889
1138058000,서울특별시,은평구,응암제1동,37.5979111,126.9288639
1138059000,서울특별시,은평구,응암제2동,37.5918167,126.9251306
1138060000,서울특별시,은평구,응암제3동,37.5893861,126.9178417
1138062500,서울특별시,은평구,역촌동,37.6016194,126.9172778
1138063100,서울특별시,은평구,신사제1동,37.5952194,126.9143861
1138063200,서울특별시,은평구,신사제2동,37.5893333,126.9148333
1138064000,서울특별시,은평구,증산동,37.5815306,126.9092222
1138065000,서울특별시,은평구,수색동,37.5813583,126.8996417
1138069000,서울특별시,은평구,진관동,37.6356000,126.9211111
1141000000,서울특별시,서대문구,,37.5763667,126.9388972
1141052000,서울특별시,서대문구,천연동,37.5683028,126.9611750
1141055500,서울특별시,서대문구,북아현동,37.5568694,126.9589111
1141056500,서울특별시,서대문구,충현동,37.5620611,126.9568444
1141058500,서울특별시,서대문구,신촌동,37.5567389,126.9455861
1141061500,서울특별시,서대문구,연희동,37.5711222,126.9373528
1141062000,서울특별시,서대문구,홍제제1동,37.5849000,126.9469861
1141064000,서울특별시,서대문구,홍제제3동,37.5924444,126.9511667
1141065500,서울특별시,서대문구,홍제제2동,37.5833389,126.9514667
1141066000,서울특별시,서대문구,홍은제1동,37.5904306,126.9459556
1141068500,서울특별시,서대문구,홍은제2동,37.5801583,126.9384861
1141069000,서울특별시,서대문구,남가좌제1동,37.5711944,126.9155778
1141070000,서울특별시,서대문구,남가좌제2동,37.5756278,126.9259111
1141071000,서울특별시,서대문구,북가좌제1동,37.5767111,126.9089778
1141072000,서울특별시,서대문구,북가좌제2동,37.5786028,126.9132194
1144000000,서울특별시,마포구,,37.5607056,126.9105306
1144055500,서울특별시,마포구,아현동,37.5443444,126.9542222
1144056500,서울특별시,마포구,공덕동,37.5474417,126.9620889
1144058500,서울특별시,마포구,도화동,37.5349000,126.9521306
1144059000,서울특별시,마포구,용강동,37.5392472,126.9437333
1144060000,서울특별시,마포구,대흥동,37.5530500,126.9448111
1144061000,서울특별시,마포구,염리동,37.5443861,126.9477194
1144063000,서울특별시,마포구,신수동,37.5440667,126.9366417
1144065500,서울특별시,마포구,서강동,37.5444472,126.9341556
1144066000,서울특별시,마포구,서교동,37.5496556,126.9229750
1144068000,서울특별시,마포구,합정동,37.5467222,126.9077528
1144069000,서울특별시,마포구,망원제1동,37.5524333,126.9077667
1144070000,서울특별시,마포구,망원제2동,37.5575639,126.9043111
1144071000,서울특별시,마포구,연남동,37.5616944,126.9240667
1144072000,서울특별시,마포구,성산제1동,37.5605833,126.9100222
1144073000,서울특별시,마포구,성산제2동,37.5659306,126.9111528
1144074000,서울특별시,마포구,상암동,37.5755139,126.8968111
1147000000,서울특별시,양천구,,37.5142306,126.8687083
1147051000,서울특별시,양천구,목1동,37.5275389,126.8732333
1147052000,서울특별시,양천구,목2동,37.5433528,126.8738083
1147053000,서울특별시,양천구,목3동,37.5420972,126.8666000
1147054000,서울특별시,양천구,목4동,37.5295333,126.8704972
1147055000,서울특별시,양천구,목5동,37.5324167,126.8807528
1147056000,서울특별시,양천구,신월1동,37.5300056,126.8336000
1147057000,서울특별시,양천구,신월2동,37.5221722,126.8465861
1147058000,서울특별시,양천구,신월3동,37.5308472,126.8311750
1147059000,서울특별시,양천구,신월4동,37.5219056,126.8421556
1147060000,서울특별시,양천구,신월5동,37.5368889,126.8294444
1147061000,서울특별시,양천구,신월6동,37.5133028,126.8457667
1147061100,서울특별시,양천구,신월7동,37.5190917,126.8367639
1147062000,서울특별시,양천구,신정1동,37.5157306,126.8563972
1147063000,서울특별시,양천구,신정2동,37.5164083,126.8726972
1147064000,서울특별시,양천구,신정3동,37.5123361,126.8568861
1147065000,서울특별시,양천구,신정4동,37.5206361,126.8608000
1147067000,서울특별시,양천구,신정6동,37.5142472,126.8664861
1147068000,서울특별시,양천구,신정7동,37.5116000,126.8617556
1150000000,서울특별시,강서구,,37.5481556,126.8516750
1150051000,서울특별시,강서구,염창동,37.5510444,126.8730444
1150052000,서울특별시,강서구,등촌제1동,37.5530667,126.8609972
1150053000,서울특별시,강서구,등촌제2동,37.5398528,126.8645972
1150053500,서울특별시,강서구,등촌제3동,37.5560944,126.8500083
1150054000,서울특별시,강서구,화곡제1동,37.5277444,126.8437417
1150055000,서울특별시,강서구,화곡제2동,37.5287889,126.8567444
1150056000,서울특별시,강서구,화곡제3동,37.5399417,126.8404639
1150057000,서울특별시,강서구,화곡제4동,37.5301333,126.8652333
1150059000,서울특별시,강서구,화곡본동,37.5412444,126.8497528
1150059100,서울특별시,강서구,화곡제6동,37.5489944,126.8522444
1150059300,서울특별시,강서구,화곡제8동,37.5298917,126.8504222
1150060300,서울특별시,강서구,가양제1동,37.5664778,126.8426639
1150060400,서울특별시,강서구,가양제2동,37.5646056,126.8533639
1150060500,서울특별시,강서구,가양제3동,37.5582750,126.8626861
1150061100,서울특별시,강서구,발산제1동,37.5502694,126.8352444
1150061500,서울특별시,강서구,우장산동,37.5482468,126.8418849
1150062000,서울특별시,강서구,공항동,37.5561056,126.8121639
1150063000,서울특별시,강서구,방화제1동,37.5687722,126.8143111
1150064000,서울특별시,강서구,방화제2동,37.5638750,126.8088306
1150064100,서울특별시,강서구,방화제3동,37.5759417,126.8160194
1153000000,서울특별시,구로구,,37.4926500,126.8895972
1153051000,서울특별시,구로구,신도림동,37.5049778,126.8826528
1153052000,서울특별시,구로구,구로제1동,37.4902028,126.8778556
1153053000,서울특별시,구로구,구로제2동,37.4886028,126.8856667
1153054000,서울특별시,구로구,구로제3동,37.4830556,126.8956861
1153055000,서울특별시,구로구,구로제4동,37.4888306,126.8912222
1153056000,서울특별시,구로구,구로제5동,37.4972778,126.8913778
1153059500,서울특별시,구로구,가리봉동,37.4779806,126.8919861
1153072000,서울특별시,구로구,고척제1동,37.4976083,126.8648000
1153073000,서울특별시,구로구,고척제2동,37.5037778,126.8604306
1153074000,서울특별시,구로구,개봉제1동,37.4993861,126.8492639
1153075000,서울특별시,구로구,개봉제2동,37.4880250,126.8586194
1153076000,서울특별시,구로구,개봉제3동,37.4831722,126.8558889
1153077000,서울특별시,구로구,오류제1동,37.4942472,126.8470889
1153078000,서울특별시,구로구,오류제2동,37.4859917,126.8416083
1153079000,서울특별시,구로구,수궁동,37.4911056,126.8335667
1153080000,서울특별시,구로구,항동,37.4821740,126.8107155
1154500000,서울특별시,금천구,,37.4491083,126.9041972
1154551000,서울특별시,금천구,가산동,37.4741250,126.8938083
1154561000,서울특별시,금천구,독산제1동,37.4674583,126.8991000
1154562000,서울특별시,금천구,독산제2동,37.4632944,126.9018444
1154563000,서울특별시,금천구,독산제3동,37.4737889,126.9099889
1154564000,서울특별시,금천구,독산제4동,37.4646556,126.9042222
1154567000,서울특별시,금천구,시흥제1동,37.4521472,126.8994194
1154568000,서울특별시,금천구,시흥제2동,37.4472917,126.9188306
1154569000,서울특별시,금천구,시흥제3동,37.4375194,126.9079750
1154570000,서울특별시,금천구,시흥제4동,37.4561750,126.9082417
1154571000,서울특별시,금천구,시흥제5동,37.4495861,126.9104083
1156000000,서울특별시,영등포구,,37.5236111,126.8983417
1156051500,서울특별시,영등포구,영등포본동,37.5146826,126.9093046
1156053500,서울특별시,영등포구,영등포동,37.5203985,126.9106910
